CD_MUNICIPIO,NM_MUNICIPIO,NM_LOCAL_VOTACAO_ORIGINAL,NM_BAIRRO,Bairro,Local,Endereco,end,end_padrao,latitude,longitude,zona
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL 1,GUARA I,,,,,,-15.812763,-47.9883101,9
97012.0,BRASÍLIA,CEF 01 - CENTRO DE ENSINO FUNDAMENTAL 01 DO GAMA,SETOR NORTE,,,,,,-16.0069911,-48.0621491,17
97012.0,BRASÍLIA,ESCOLA CLASSE 401 DO RECANTO DAS EMAS,RECANTO DAS EMAS,,,,,,-15.9089408,-48.0561559,21
97012.0,BRASÍLIA,CEM 01 - CENTRO DE ENSINO MEDIO 01 DO GAMA,SETOR LESTE,,,,,,-16.0184307,-48.0541323,17
97012.0,BRASÍLIA,CENTRO DE ENSINO MÉDIO 01 - CENTRÃO,SAO SEBASTIAO,,,,,,-15.9011975,-47.778907,18
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL 03,SOBRADINHO,,,,,,-15.6509245,-47.7994102,5
97012.0,BRASÍLIA,CENTRO DE ENSINO MÉDIO 304,SAMAMBAIA SUL,,,,,,-15.87959206,-48.07943572,13
97012.0,BRASÍLIA,CENTRO DE ENSINO ESPECIAL 01,CEILANDIA SUL,,,,,,-15.8394609,-48.1139212,20
97012.0,BRASÍLIA,CENTRO DE ENSINO MEDIO 03,CEILANDIA SUL,,,,,,-15.826584,-48.0986715,8
97012.0,BRASÍLIA,ESCOLA CLASSE 317 DE SAMAMBAIA,SAMAMBAIA,,,,,,-15.8910432,-48.1108717,21
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL 34 (ANTIGA EC 60),CEILANDIA NORTE,,,,,,-15.7939849,-48.1393728,16
97012.0,BRASÍLIA,CENTRO INTERESCOLAR DE LINGUAS -CIL,SOBRADINHO,,,,,,-15.6443098,-47.7880365,5
97012.0,BRASÍLIA,ESCOLA CLASSE 411 NORTE,ASA NORTE,,,,,,-15.7530571,-47.8824464,14
97012.0,BRASÍLIA,ESCOLA CLASSE 305 SUL,ASA SUL,,,,,,-15.80783285,-47.89853085,1
97012.0,BRASÍLIA,CENTRO DE ENSINO MÉDIO 1 DO RIACHO FUNDO I,RIACHO FUNDO,,,,,,-15.8881341,-48.01412246,10
97012.0,BRASÍLIA,UNIPLAN -CENTRO UNIVERSITÁRIO PLANALTO DO DISTRITO FEDERAL,AGUAS CLARAS - TAGUATINGA SUL,,,,,,-15.8385399,-48.0264639,15
97012.0,BRASÍLIA,ESCOLA CLASSE 05,PLANALTINA,,,,,,-15.6315285,-47.6544126,6
97012.0,BRASÍLIA,CENTRO EDUCACIONAL 14 (ANTIGO CE 15),CEILANDIA NORTE,,,,,,-15.7930996,-48.1304582,16
97012.0,BRASÍLIA,EC 21 - ESCOLA CLASSE 21 DO GAMA,SETOR LESTE,,,,,,-15.9993004,-48.0553804,17
97012.0,BRASÍLIA,ESCOLA CLASSE GRANJA DO TORTO,GRANJA DO TORTO,,,,,,-15.7054078,-47.911663,2
97012.0,BRASÍLIA,CENTRO DE ENSINO MÉDIO 414,SAMAMBAIA,,,,,,-15.85855639,-48.07198654,13
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL 404,SAMAMBAIA NORTE,,,,,,-15.86664375,-48.08408406,13
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL 31 (ANTIGO CE 17 E 53),CEILANDIA NORTE,,,,,,-15.798735,-48.1347269,16
